ActorCountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ERI,199301,04,43,2.8488372093023258,4.8818401529089828
ERI,199301,05,9,3.4777777777777779,4.4860508499444567
ERI,199301,06,1,6.0,4.1025641025641
ERI,199301,07,3,7.4000000000000012,7.1507837425440428
ERI,199301,09,1,-2.0,7.40740740740741
ERI,199301,12,2,-4.0,4.63576158940397
ERI,199301,17,5,-5.0,2.94878642217079
ERI,199302,01,1,0.0,6.38297872340426
ERI,199302,04,7,2.0285714285714285,3.0794691754606012
ERI,199302,05,4,3.5,3.5352389594676326
ERI,199303,03,6,4.0,4.5230407248879905
ERI,199303,04,10,5.18,6.8250540005990583
ERI,199303,05,1,3.4,7.69230769230769
ERI,199303,06,4,6.0,0.0
ERI,199303,07,1,7.0,3.27868852459016
ERI,199303,09,1,-2.0,7.47663551401869
ERI,199304,01,20,0.0,2.9047044117607141
ERI,199304,02,1,3.0,5.54156171284635
ERI,199304,03,19,4.1578947368421053,4.81238411897509
ERI,199304,04,42,3.0857142857142854,4.340960596177581
ERI,199304,05,22,3.65,6.6479808694553988
ERI,199304,08,7,7.5714285714285712,6.3990020031642478
ERI,199304,09,9,-2.0,4.7289572619259479
ERI,199304,10,9,-5.0,2.8901268155057482
ERI,199304,11,1,-2.0,4.89864864864865
ERI,199304,16,1,-4.0,6.19469026548673
ERI,199304,17,2,-5.0,5.3005557061534248
ERI,199304,19,12,-10.0,4.7953340198648382
ERI,199305,01,16,0.05,7.5466428753551567
ERI,199305,02,5,1.92,4.5816460163840018
ERI,199305,03,9,4.2666666666666666,6.23075738274504
ERI,199305,04,47,2.8127659574468078,6.4441349510385963
ERI,199305,05,35,4.8571428571428577,6.8757382117825614
ERI,199305,06,3,6.0,7.2718561108654
ERI,199305,08,7,5.8571428571428568,3.3684590823423255
ERI,199305,10,6,-5.0,4.7603959898479573
ERI,199305,11,4,-2.0,7.2829067733528827
ERI,199305,12,1,-4.0,1.77935943060498
ERI,199305,13,1,-7.0,3.05343511450382
ERI,199305,14,1,-6.5,1.14942528735632
ERI,199305,17,5,-5.0,6.2552723271593607
ERI,199305,19,3,-9.6666666666666661,8.2106516032783574
ERI,199306,01,15,-0.026666666666666668,4.8279706191491663
ERI,199306,02,3,3.0,5.4640522875816968
ERI,199306,03,2,4.0,12.8205128205128
ERI,199306,04,5,5.32,6.41740161565256
ERI,199306,05,17,5.7882352941176469,7.4856845271899966
ERI,199306,07,2,7.4,9.18803418803418
ERI,199306,10,3,-5.0,5.8252427184466
ERI,199306,11,3,-2.0,2.3598820058997032
ERI,199306,12,1,-4.0,9.31758530183727
ERI,199306,19,3,-10.0,6.4885496183206088
ERI,199307,03,8,4.0,9.2067537890338684
ERI,199307,04,40,3.0774999999999997,5.0755828262029246
ERI,199307,05,26,5.9576923076923078,8.43743472020941
ERI,199307,06,2,6.4,9.62962962962963
ERI,199307,07,1,7.0,5.90200445434298
ERI,199307,10,7,-5.0,5.4550132944506391
ERI,199307,11,1,-2.0,1.81818181818182
ERI,199307,12,9,-4.0,2.5068120260631246
ERI,199307,14,2,-6.5,2.62008733624454
ERI,199308,03,10,4.0,6.2712366127925874
ERI,199308,04,3,1.8999999999999997,3.5774410774410796
ERI,199308,05,5,7.6,7.0301112526628087
ERI,199308,08,7,7.0,4.749536178107606
ERI,199308,10,2,-5.0,4.16666666666667
ERI,199309,01,2,0.0,8.0839088259949961
ERI,199309,02,5,3.0,11.3234253361642
ERI,199309,03,3,4.0,6.00439838066539
ERI,199309,04,15,3.7600000000000002,5.7598908235126469
ERI,199310,01,1,0.0,1.24228395061728
ERI,199310,02,2,3.4,7.3529411764705905
ERI,199310,03,15,4.4,8.6966953270100937
ERI,199310,04,35,3.2914285714285709,5.3018748810014307
ERI,199310,05,6,6.0,12.140438310651062
ERI,199310,06,1,6.0,1.24228395061728
ERI,199310,11,4,-2.0,5.8054226475279105
ERI,199310,17,2,-5.0,4.85436893203883
ERI,199311,01,5,0.0,2.24358974358974
ERI,199311,03,7,4.0,4.7227891156462594
ERI,199311,04,30,3.46,5.3719072631309821
ERI,199311,05,6,5.6999999999999993,6.9825650516766791
ERI,199311,13,2,-4.4,1.16279069767442
ERI,199312,03,5,4.0,7.0603448275862082
ERI,199312,04,10,3.85,6.0529074648467489
ERI,199312,05,3,5.1333333333333337,11.2814465408805
ERI,199312,10,1,-5.0,3.40136054421769
ERI,199312,19,1,-10.0,5.69105691056911
ERI,199401,01,10,-0.2,4.7700139396460512
ERI,199401,02,4,3.75,2.1435574229691849
ERI,199401,03,17,4.5647058823529418,9.4409600457236262
ERI,199401,04,68,2.242647058823529,5.2333244337943583
ERI,199401,05,12,5.3666666666666671,8.0443802521008418
ERI,199401,07,6,7.333333333333333,3.8517419657328325
ERI,199401,08,6,6.0,5.03875968992248
ERI,199401,11,3,-2.0,4.5084763554295906
ERI,199401,16,2,-5.5,4.22556167237019
ERI,199401,17,1,-5.0,3.35195530726257
ERI,199401,18,4,-9.0,1.8887362637362624
ERI,199401,19,4,-10.0,1.9833469937061101
ERI,199402,01,2,0.0,5.69748580697486
ERI,199402,02,2,3.2,5.3030303030303
ERI,199402,04,22,4.4636363636363638,8.37489034915895
ERI,199402,07,3,7.0,8.40336134453782
ERI,199402,08,3,7.0,8.40336134453782
ERI,199402,11,3,-2.0,5.16014234875445
ERI,199402,19,3,-10.0,5.16014234875445
ERI,199403,02,1,4.0,10.15625
ERI,199403,03,9,4.0,5.0019370957475271
ERI,199403,04,22,3.7818181818181817,7.2756866780331073
ERI,199403,06,1,6.0,4.10958904109589
ERI,199403,16,3,-4.0,5.0251256281407
ERI,199404,02,1,3.0,3.7037037037037
ERI,199404,03,5,4.0,5.6683168316831685
ERI,199404,04,29,2.7379310344827585,4.0503892685329932
ERI,199404,05,11,5.4090909090909092,8.4823223581099381
ERI,199404,06,1,6.0,3.7037037037037
