ActorCountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
BRN,14,21,-6.5,3.5037727782570749
BRN,15,168,-7.1999999988646737,-1.3052335643968422
BRN,16,34,-5.1058823529411761,3.042516287070089
BRN,17,118,-5.0,1.6973075333074001
BRN,18,10,-9.6,-1.5546578641039803
BRN,19,204,-9.9019607843137258,1.5440005429396531
CYP,01,4298,-0.04125174499906014,3.4634848762595611
CYP,02,2186,3.0116651418115281,3.4496047408928341
CYP,03,4147,4.1659995177236553,3.7651384244171866
CYP,04,14354,2.886052668242455,3.6170658343771436
CYP,05,3688,5.0201193058568316,4.4224896287148026
CYP,06,851,6.23924794359577,2.7771786681942805
CYP,07,1274,7.4549450549450551,3.4690414982112689
CYP,08,954,7.1163522012578619,3.3732189200031213
CYP,09,2487,-2.0,3.6930442662228113
CYP,10,464,-4.9245689655172411,4.2638801492526559
CYP,11,1321,-2.0,2.7742571811799284
CYP,12,917,-4.1842966194111231,3.6665710480532705
CYP,13,380,-5.1642105263157889,2.6588282239714935
CYP,14,178,-6.5561797752808992,3.0470899006127725
CYP,15,182,-7.2,3.1804615116107353
CYP,16,448,-5.2633928571428559,2.730901167873141
CYP,17,700,-5.3668571428571434,2.168333224746978
CYP,18,178,-9.3117977528089888,2.8713190320795592
CYP,19,1054,-9.935483870967742,2.1853464014832209
CYP,20,7,-10.0,5.6821497352274051
CZE,01,12080,0.024312913907284767,4.4056516970895974
CZE,02,4934,3.0459464937170644,4.44139473397924
CZE,03,9642,4.1513897530841186,4.8393120890098844
CZE,04,45274,2.8759022838678789,4.3609500596549555
CZE,05,10335,5.477764876632806,5.6566626319627877
CZE,06,2017,6.3767972236466832,3.663108213280569
CZE,07,1295,7.3067953667953676,4.5294282055355817
CZE,08,1898,6.3640674394099053,4.12403826849699
CZE,09,888,-2.0,3.6640439383296783
CZE,10,916,-4.9454148471615724,4.4320193061295337
CZE,11,3460,-2.0,4.1993913717605276
CZE,12,1935,-4.16640826873385,4.2209621972046207
CZE,13,837,-4.8994026284348866,4.2558726281198487
CZE,14,917,-6.5261723009814609,3.4639076158123858
CZE,15,265,-7.2,4.8296582280653668
CZE,16,997,-5.1458375125376135,3.5889952037787238
CZE,17,2298,-5.2615317667536985,2.7750587570536713
CZE,18,257,-9.3210116731517516,2.5184340492064381
CZE,19,1743,-9.87435456110155,3.2181322477379042
CZE,20,9,-9.8333333333333339,5.1849751409630667
DEU,01,52984,0.039262796319525006,3.1959902220719871
DEU,02,22781,2.9860234405948307,3.40015970440092
DEU,03,60534,4.1765933194505287,2.8424689607767806
DEU,04,191481,2.968368140945866,3.2982281530913662
DEU,05,39374,5.2132879565582737,3.5796360906568006
DEU,06,9998,6.37381476296214,3.2515029688860579
DEU,07,6976,7.3109948394495357,3.6609063927468415
DEU,08,14053,6.7727887283853985,3.4031351491636825
DEU,09,6144,-2.0,2.9325876241952074
DEU,10,4847,-4.9587288485348742,3.5443634879555947
DEU,11,19752,-2.0,2.924632988128999
DEU,12,8911,-4.1985186847716305,3.6119145447445855
DEU,13,4831,-5.1924239288721656,2.4552001478589771
DEU,14,3848,-6.632796257796258,3.0420501300264431
DEU,15,1512,-7.1999999997477007,2.7681539115634091
DEU,16,4296,-5.4573091247672254,2.837735235366257
DEU,17,15201,-5.2406683770679088,3.0693415636968031
DEU,18,4164,-9.2390730067243041,2.0033271871209029
DEU,19,16240,-9.9448275862068964,2.2586596052898269
DEU,20,157,-9.9458598726114644,1.5296762345050072
ERI,01,1896,-0.0941983122362869,4.99110917567954
ERI,02,1027,2.8888023369036029,4.834862807458693
ERI,03,2161,4.2480333179083765,5.5306796478047886
ERI,04,9965,3.149884596086296,5.0405346519650305
ERI,05,2538,4.6879038613081168,6.6700252988767827
ERI,06,323,6.3349845201238386,4.9027361761599888
ERI,07,829,7.291917973462005,4.1244590565220687
ERI,08,582,6.9020618556701034,4.1260502664215783
ERI,09,145,-2.0,2.5439746923433741
ERI,10,305,-4.8360655737704921,4.779507979393772
ERI,11,2434,-2.0,4.376164847997603
ERI,12,513,-4.2300194931773882,4.1927123698356636
ERI,13,178,-5.5820224719101112,4.0132233871734728
ERI,14,107,-6.55607476635514,2.38926202331338
ERI,15,123,-7.2,4.2701749527516055
ERI,16,286,-4.7251748251748236,4.3271457987812045
ERI,17,661,-5.1295007564296515,2.7283154748756533
ERI,18,306,-9.1045751633986924,1.1256000566151494
ERI,19,1833,-9.952264048008729,3.2135342756361656
ERI,20,4,-10.0,-3.5869565217391348
EST,01,5885,-0.02854715378079864,2.8743269042500552
EST,02,2353,2.9412239694007658,3.4827302560175752
EST,03,4240,4.2110849056603774,3.7235335323109875
EST,04,15875,2.7341354330423222,3.3077744322740612
EST,05,6167,5.69931895588676,4.8504691280586423
EST,06,1135,6.3603524231595641,2.4340359269819629
EST,07,746,7.6396782841823025,2.0349698112558765
EST,08,2003,7.4038941587618572,2.954049645701418
EST,09,798,-2.0,1.1187454592016333
EST,10,809,-4.9876390605686032,3.4929799755417577
EST,11,3313,-2.0,2.6090982231284232
EST,12,1157,-4.1789109766637855,3.1528075061947711
EST,13,748,-5.0866310160427819,1.9972771274193535
EST,14,617,-6.56645056726094,3.4424659343933337
EST,15,1004,-7.1999999977202984,-0.9006756360462721
EST,16,758,-5.2873350923482834,3.2894991763684316
EST,17,2379,-5.2958385876418657,0.33038976320975239
EST,18,630,-9.0722222222222229,-0.93574181013668067
EST,19,1676,-9.8565035799522676,0.77875595095371974
EST,20,13,-9.9230769230769234,3.6320696780482398
ETH,01,6446,0.0076636673906298452,4.2161582019692485
ETH,02,3819,3.0188269180413716,4.2201201689901593
ETH,03,9300,4.2127419354838729,3.9790577443205475
ETH,04,36973,2.9467016471453578,3.8735290236969511
ETH,05,10056,5.5919252187748656,4.5619823124967871
ETH,06,1545,6.2588996763754041,4.1654982621147711
ETH,07,2810,7.3857295373665437,4.76344095324029
ETH,08,3668,6.5861504907306436,3.4385456925717244
ETH,09,420,-2.0,3.432546641643603
ETH,10,657,-4.9543378995433791,4.0991949817596591
ETH,11,3719,-2.0,3.408880782542866
ETH,12,1290,-4.2279069767441859,3.2498897377354381
ETH,13,758,-5.0005277051145613,1.4465152022283074
ETH,14,360,-6.6388888888888893,4.2029740284380512
ETH,15,287,-7.200000000000002,5.0358331827228087
ETH,16,1041,-5.5853986551392909,3.703583489420653
ETH,17,1459,-5.159561343385878,3.2495765410352964
